movie_name,douban_id
你的婚礼,34973399
少年的你,30166972
十二生肖,2279584
警察故事2013,20266753
一代宗师,3821067
天将雄师,25823833
归来,21352814
狄仁杰之神都龙王,5996801
最好的我们,26266919
急先锋,27195078
无名,35372742
捉妖记,25723907
一周的朋友,35131347
看不见的客人,26580232
流浪地球,26266893
八佰,26754233
遇见你,35068654
不能流泪的悲伤,36153321
我要我们在一起,25881778
喊·山,26106958
流浪地球2,35267208
龙马精神,35595615
黄金时代,10545939
命中注定,25881780
功夫瑜伽,26182910
28岁未成年,26658568
别叫我“赌神”,30434811
超时空同居,27133303
热烈,35556001
一闪一闪亮星星,35768712
英雄本色2018,26827040
钟馗伏魔：雪妖魔灵,25713420
满江红,35766491
独行月球,35183042
第三种爱情,25911595
北京遇上西雅图之不二情书,26322792
西游降魔篇,5308265
地球最后的夜晚,26633257
北京遇上西雅图,10574468
风暴,20388198
一秒钟,30257787
西游记之孙悟空三打白骨精,25827963
一点就到家,35069506
素人特工,27155276
少女佳禾,30385361
我的姐姐,35158160
机器之血,26729868
攀登者,30413052
明天你是否依然爱我,35069014
赤狐书生,30464542
追捕,26348414
忠烈杨家将,5996799
智取威虎山,10807909
路边野餐,26337866
鹦鹉杀,35496265
滚蛋吧！肿瘤君,26289144
拆弹专家2,30171424
影,4864908
解忧杂货店,26654146
热带往事,29984000
白发魔女传之明月天国,10807916
冈仁波齐,26606242
战国,4707585
金陵十三钗,3649049
铁道飞虎,26389069
风声,3734112
金刚王：死亡救赎,19975090
暗恋·橘生淮南,30449624
山河故人,25890005
消失的子弹,6991110
过春天,27191431
特殊身份,23126901
大上海,10540066
战狼2,26363254
太极2：英雄崛起,10573695
夜莺,19962587
天机·富春山居图,5364905
三生三世十里桃花,25823277
画皮2,4218768
悬崖之上,32493124
决战食神,26711487
封神第一部：朝歌风云,10604086
全民目击,11510624
嫌疑人X的献身,26606743
妖猫传,5350027
王朝的女人·杨贵妃,5993138
拆弹专家,26748673
白狐,20515018
